City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
Bakel,SN,1613074889,14.905,-12.4568,97,11,88.95,7.67
East London,ZA,1613074889,-33.0153,27.9116,1,83,76.28,18.21
Maniitsoq,GL,1613074890,65.4167,-52.9,38,89,10.49,10.45
Lavrentiya,RU,1613074890,65.5833,-171.0,0,80,-25.08,10.2
Butaritari,KI,1613074890,3.0707,172.7902,77,78,81.36,15.28
Rikitea,PF,1613074890,-23.1203,-134.9692,99,71,78.82,9.13
Susuman,RU,1613074890,62.7833,148.1667,98,80,-2.02,0.63
Nome,US,1613074890,64.5011,-165.4064,90,43,5.0,17.27
Ilulissat,GL,1613074891,69.2167,-51.1,75,67,10.4,17.27
Vila Velha,BR,1613074891,-20.3297,-40.2925,75,74,84.99,9.22
Verkhoyansk,RU,1613074891,67.5447,133.385,89,82,-15.45,1.39
Punta Arenas,CL,1613074720,-53.15,-70.9167,0,41,59.0,25.32
Kaitangata,NZ,1613074891,-46.2817,169.8464,0,69,55.0,8.01
Soyo,AO,1613074891,-6.1349,12.3689,100,81,80.37,8.86
Ocós,GT,1613074892,14.5094,-92.1933,20,55,91.4,17.27
Qaanaaq,GL,1613074892,77.484,-69.3632,0,69,7.12,10.31
Khatanga,RU,1613074892,71.9667,102.5,97,86,-22.94,4.12
Vardø,NO,1613074892,70.3705,31.1107,100,86,17.6,19.57
Alice Springs,AU,1613074892,-23.7,133.8833,30,65,80.6,2.3
Canala,NC,1613074893,-21.5333,165.95,0,94,71.6,5.75
Bathsheba,BB,1613074893,13.2167,-59.5167,40,65,78.8,16.11
Heishan,CN,1613074893,41.6892,122.1128,100,89,34.27,7.29
Totoral,PE,1613074894,-17.4053,-70.365,100,56,66.42,8.34
Sangar,RU,1613074894,63.9242,127.4739,100,94,2.55,1.23
Almaznyy,RU,1613074894,48.0448,40.045,75,100,42.8,13.42
Kununurra,AU,1613074894,-15.7667,128.7333,40,100,78.8,4.74
Airai,TL,1613074894,-8.9266,125.4092,100,100,60.94,1.54
Mujiayingzi,CN,1613074894,42.1167,118.7833,0,88,24.87,6.67
Hilo,US,1613074895,19.7297,-155.09,90,78,72.0,3.44
Kenai,US,1613074895,60.5544,-151.2583,75,74,30.0,17.27
Gombong,ID,1613074895,-7.6072,109.5142,95,87,76.91,1.79
Volot,RU,1613074895,57.9278,30.7025,93,94,1.96,5.75
Mahébourg,MU,1613074895,-20.4081,57.7,20,78,78.8,4.61
Natal,BR,1613074895,-5.795,-35.2094,40,74,84.2,20.71
Taganak,PH,1613074896,6.0833,118.3,20,94,78.01,2.3
Cape Town,ZA,1613074861,-33.9258,18.4232,75,88,73.0,18.41
Saint-Philippe,RE,1613074896,-21.3585,55.7679,0,65,80.6,3.44
Castro,BR,1613074896,-24.7911,-50.0119,90,86,69.57,6.06
Hualmay,PE,1613074896,-11.0964,-77.6139,15,60,78.66,10.07
San Alberto,CO,1613074656,7.7611,-73.3922,40,38,93.58,2.8
Tiznit Province,MA,1613074714,29.5833,-9.5,21,82,58.37,2.89
Veinticinco de Mayo,AR,1613074897,-35.4323,-60.1727,94,44,84.0,4.0
Tuktoyaktuk,CA,1613074897,69.4541,-133.0374,40,77,-11.2,10.36
Dedovichi,RU,1613074897,57.5517,29.9502,95,94,2.3,6.15
Khandyga,RU,1613074897,62.6667,135.6,54,86,3.58,3.89
Severo-Kuril'sk,RU,1613074898,50.6789,156.125,100,91,28.36,9.84
Clyde River,CA,1613074722,70.4692,-68.5914,15,92,6.8,29.93
Prince Rupert,CA,1613074898,54.3161,-130.3201,1,27,21.2,17.27
Purranque,CL,1613074898,-40.9167,-73.1667,40,39,80.6,3.44
Saskylakh,RU,1613074899,71.9167,114.0833,100,86,-14.4,2.51
Hong Kong,HK,1613074828,22.2855,114.1577,0,70,63.0,1.01
Mt. Pleasant,US,1613074899,32.7941,-79.8626,90,94,68.0,3.27
Hirado,JP,1613074899,33.3597,129.5531,100,81,48.0,1.99
Bitam,GA,1613074899,2.076,11.5007,0,79,75.0,5.01
Yangi Marg`ilon,UZ,1613074899,40.4272,71.7189,0,61,48.2,4.61
Tasiilaq,GL,1613074900,65.6145,-37.6368,90,62,17.6,4.61
Krasnosel'kup,RU,1613074900,65.7,82.4667,33,83,-31.77,7.07
Vaini,TO,1613074900,-21.2,-175.2,75,89,82.4,8.05
Chui,UY,1613074900,-33.6971,-53.4616,100,87,72.25,13.96
Lebu,CL,1613074901,-37.6167,-73.65,64,77,64.18,14.03
Laguna,US,1613074901,38.421,-121.4238,1,67,59.0,9.22
Tongchuanshi,CN,1613074901,35.0806,109.0897,0,61,43.0,3.85
Morden,CA,1613074901,49.1919,-98.1014,100,44,-13.0,9.22
Portland,US,1613074887,45.5234,-122.6762,100,75,37.0,5.01
Xam Nua,LA,1613074901,20.4197,104.0439,48,93,53.73,2.08
Yarmouth,US,1613074760,41.7057,-70.2286,20,59,30.2,5.75
Bambous Virieux,MU,1613074902,-20.3428,57.7575,20,78,80.01,4.61
Barrow,US,1613074741,71.2906,-156.7887,1,83,-45.4,12.66
Thompson,CA,1613074902,55.7435,-97.8558,75,69,-20.2,4.61
Vilyuysk,RU,1613074902,63.7553,121.6247,100,87,-19.48,1.52
Wilmington,US,1613074896,34.2257,-77.9447,90,82,63.0,8.05
Kruisfontein,ZA,1613074625,-34.0033,24.7314,100,78,75.99,1.01
Buncrana,IE,1613074903,55.1333,-7.45,75,75,35.6,25.32
Melfi,IT,1613074903,40.9965,15.6514,75,93,42.01,10.36
Kiryat Gat,IL,1613074745,31.61,34.7642,0,88,59.0,2.3
Forsytheganj,BY,1613074903,52.6333,29.7333,100,95,10.11,15.61
Sulangan,PH,1613074904,11.1373,123.7228,33,77,80.92,2.39
Sechura,PE,1613074904,-5.5569,-80.8222,89,60,82.31,17.02
Khovd,MN,1613074904,48.0056,91.6419,1,72,7.86,2.06
Bandarbeyla,SO,1613074904,9.4942,50.8122,72,69,74.41,13.35
Ayorou,NE,1613074904,14.7308,0.9174,0,12,82.58,11.07
Zwedru,LR,1613074904,6.0667,-8.1281,63,71,79.27,6.31
Atuona,PF,1613074905,-9.8,-139.0333,4,76,78.62,10.85
Torbay,CA,1613074905,47.6666,-52.7314,90,86,23.0,33.38
Solnechnyy,RU,1613074905,50.7214,136.6319,13,89,2.64,0.92
Sinnamary,GF,1613074905,5.3833,-52.95,100,81,79.14,13.02
Bubaque,GW,1613074905,11.2833,-15.8333,91,76,77.68,13.24
Kaliua,TZ,1613074906,-5.0606,31.7936,53,93,64.62,2.8
Dāhānu,IN,1613074877,19.9667,72.7333,75,48,72.46,3.4
Nuuk,GL,1613074906,64.1835,-51.7216,75,93,21.2,14.97
Ust-Maya,RU,1613074906,60.4167,134.5333,0,92,7.77,5.68
Kladovo,RS,1613074906,44.6067,22.6119,6,61,24.01,20.74
Bengkulu,ID,1613074907,-3.8004,102.2655,100,86,76.55,4.65
Yulara,AU,1613074907,-25.2406,130.9889,90,100,75.2,10.36
Simao,CN,1613074907,22.7886,100.9748,0,89,49.53,1.9
Salinópolis,BR,1613074907,-0.6136,-47.3561,100,75,82.6,11.12
Autazes,BR,1613074907,-3.5797,-59.1306,82,65,86.9,3.58
Caravelas,BR,1613074908,-17.7125,-39.2481,87,70,80.35,7.47
Feijó,BR,1613074908,-8.1642,-70.3536,100,96,75.81,4.47
Perehonivka,UA,1613074908,48.5355,30.5192,100,97,37.13,5.79
Lüderitz,NA,1613074909,-26.6481,15.1594,87,76,68.63,6.26
Tiksi,RU,1613074909,71.6872,128.8694,36,88,-12.19,6.55
Cabo San Lucas,MX,1613074780,22.8909,-109.9124,20,56,73.99,14.97
Avarua,CK,1613074901,-21.2078,-159.775,99,74,84.2,5.75
Areia Branca,BR,1613074909,-4.9561,-37.1369,20,49,95.0,21.85
Los Llanos de Aridane,ES,1613074909,28.6585,-17.9182,20,68,64.4,5.75
Chifeng,CN,1613074910,42.2683,118.9636,0,89,24.96,6.55
Władysławowo,PL,1613074910,54.7909,18.4009,75,63,23.0,9.22
Shubarshi,KZ,1613074910,48.5872,57.1869,100,98,29.57,11.74
Port Hardy,CA,1613074910,50.6996,-127.4199,75,51,33.8,23.02
Port Elizabeth,ZA,1613074862,-33.918,25.5701,75,94,71.6,10.36
Bandundu Province,CD,1613074830,-3.3167,17.3667,16,76,78.51,3.89
Khipro,PK,1613074911,25.8285,69.3772,100,20,69.08,4.76
Baykit,RU,1613074911,61.67,96.37,100,84,-15.57,3.02
Cashel,IE,1613074912,52.5158,-7.8856,100,79,37.0,8.01
Ribeira Grande,PT,1613074912,38.5167,-28.7,75,77,62.6,33.38
Halifax,CA,1613074818,44.6453,-63.5724,20,42,24.01,20.71
Constitución,CL,1613074912,-35.3333,-72.4167,68,73,65.82,7.36
Laas,IT,1613074913,46.6166,10.7002,0,73,39.2,5.75
Mongo,TD,1613074913,12.1844,18.693,12,21,70.52,4.79
Ubari,LY,1613074913,26.5921,12.7805,0,31,58.69,4.52
Thebes,GR,1613074913,38.325,23.3189,20,62,54.0,12.66
Saint-Pierre,RE,1613074914,-21.3393,55.4781,0,65,80.6,3.44
Pevek,RU,1613074914,69.7008,170.3133,9,82,-22.77,3.38
Takaka,NZ,1613074914,-40.85,172.8,0,73,61.0,1.01
Port Lincoln,AU,1613074914,-34.7333,135.8667,63,72,61.23,11.05
Jacksonville,US,1613074650,30.3322,-81.6556,75,65,84.0,6.91
Erzin,TR,1613074621,36.9559,36.2,15,85,60.01,2.48
Fillmore,US,1613074915,43.6666,-92.1002,90,71,1.99,6.91
Juchipila,MX,1613074915,21.4167,-103.1167,0,15,79.14,15.23
Coahuayana Viejo,MX,1613074915,18.7333,-103.6833,40,64,75.2,6.69
Parrita,CR,1613074915,9.5201,-84.3225,0,50,80.6,12.66
Puerto Escondido,MX,1613074915,15.85,-97.0667,1,66,87.8,12.66
Isangel,VU,1613074916,-19.55,169.2667,20,94,78.8,1.25
Sibu,MY,1613074809,2.3,111.8167,40,100,75.2,1.01
Namtsy,RU,1613074916,62.7161,129.6658,0,76,-18.4,4.47
Samarai,PG,1613074916,-10.6167,150.6667,96,74,81.84,6.78
Rognan,NO,1613074916,67.0953,15.3878,100,93,33.01,8.41
Dingli,MT,1613074917,35.8614,14.3822,20,76,57.0,16.11
Avera,US,1613074917,33.194,-82.5271,90,80,66.2,7.72
Aklavik,CA,1613074917,68.2191,-135.0107,20,63,-22.0,12.66
Pointe-Noire,CG,1613074917,-4.7761,11.8635,100,84,80.11,8.25
Mount Gambier,AU,1613074918,-37.8333,140.7667,75,88,55.4,6.91
Palmer,US,1613074918,42.1584,-72.3287,40,46,30.0,17.27
Banda Aceh,ID,1613074918,5.5577,95.3222,0,77,78.67,4.16
Itarema,BR,1613074918,-2.9248,-39.9167,100,74,82.63,15.55
Kaeo,NZ,1613074918,-35.1,173.7833,3,73,63.0,8.01
Novy Urengoy,RU,1613074918,66.0833,76.6333,3,82,-35.68,5.64
George Town,MY,1613074919,5.4112,100.3354,20,89,82.0,4.61
Yershichi,RU,1613074749,53.6725,32.7542,100,95,9.91,11.74
Porto Empedocle,IT,1613074919,37.2934,13.5264,38,80,50.0,12.66
Murray Bridge,AU,1613074919,-35.1167,139.2667,45,86,57.99,1.01
Talnakh,RU,1613074919,69.4865,88.3972,94,88,-15.66,1.45
Arlit,NE,1613074919,18.7369,7.3853,0,15,77.61,8.9
Grand Gaube,MU,1613074920,-20.0064,57.6608,96,66,80.01,8.01
Koulamoutou,GA,1613074920,-1.1303,12.4736,29,89,74.82,1.72
Yatou,CN,1613074920,37.15,122.3833,1,88,38.32,6.58
Karratha,AU,1613074920,-20.7377,116.8463,4,75,81.25,12.91
Chokurdakh,RU,1613074920,70.6333,147.9167,33,82,-19.34,4.16
Rosh Pinna,IL,1613074920,32.9689,35.5426,0,88,57.2,2.3
Porto-Novo,BJ,1613074921,6.4965,2.6036,40,79,86.0,13.8
Krasnyy Chikoy,RU,1613074921,50.3643,108.7512,69,87,-4.38,1.95
Guaca,CO,1613074921,6.8762,-72.8559,40,61,80.6,4.61
Misawa,JP,1613074922,40.6836,141.3597,16,62,26.01,3.0
Saint Paul Harbor,US,1613074922,57.79,-152.4072,90,87,37.4,43.73
Angoram,PG,1613074922,-4.0625,144.0661,100,97,73.02,1.79
Stornoway,GB,1613074922,58.2093,-6.3865,0,69,35.6,12.66
Souillac,MU,1613074922,-20.5167,57.5167,20,78,78.8,4.61
Anito,PH,1613074922,12.4497,125.2886,71,92,75.27,4.52
Boyolangu,ID,1613074923,-8.1181,111.8935,71,85,74.64,1.9
Kuleshovka,RU,1613074923,47.078,39.5579,100,100,44.01,15.99
Pangnirtung,CA,1613074923,66.1451,-65.7125,90,84,-2.2,6.91
Zhangaözen,KZ,1613074864,43.3,52.8,1,72,42.46,14.76
Sabha,LY,1613074698,27.0377,14.4283,0,26,63.9,6.71
Lavaca,US,1613074924,28.615,-96.6261,90,81,42.01,20.71
Iqaluit,CA,1613074823,63.7506,-68.5145,20,71,1.4,13.8
Novoagansk,RU,1613074924,61.9449,76.6625,100,88,-17.27,9.37
Lagoa,PT,1613074924,39.05,-27.9833,100,79,60.3,31.68
Saint-Michel-des-Saints,CA,1613074924,46.6834,-73.9159,26,88,6.01,11.79
Burnie,AU,1613074924,-41.0667,145.9167,36,82,57.83,14.58
Ajdabiya,LY,1613074925,30.7554,20.2263,0,72,60.96,11.3
Ponot,PH,1613074925,8.452,123.0222,43,82,77.36,2.55
Eyl,SO,1613074925,7.9803,49.8164,31,70,73.96,15.97
Novobirilyussy,RU,1613074925,56.9514,90.6661,100,88,-10.03,8.63
Aleksandrov Gay,RU,1613074925,50.147,48.5704,100,98,34.81,7.4
Pisco,PE,1613074926,-13.7,-76.2167,0,65,78.8,10.36
Tres Arroyos,AR,1613074926,-38.3739,-60.2798,68,43,81.66,8.28
Mehamn,NO,1613074926,71.0357,27.8492,75,74,28.4,17.27
Luz,BR,1613074926,-19.8014,-45.6856,100,80,77.22,4.14
Flin Flon,CA,1613074927,54.7682,-101.865,90,63,-20.2,8.05
Alofi,NU,1613074927,-19.0595,-169.9187,40,83,82.4,9.22
Departamento de Maldonado,UY,1613074927,-34.6667,-54.9167,90,88,71.6,12.66
Nizwá,OM,1613074927,22.9333,57.5333,0,39,63.39,5.59
Sola,VU,1613074927,-13.8833,167.55,99,76,82.22,7.36
Hasaki,JP,1613074927,35.7333,140.8333,75,75,35.6,2.3
Bethel,US,1613074888,41.3712,-73.414,20,50,30.99,11.5
Mumford,GH,1613074928,5.2618,-0.759,40,81,82.58,15.46
Arraial do Cabo,BR,1613074928,-22.9661,-42.0278,75,83,77.0,12.66
Luoyang,CN,1613074928,34.6836,112.4536,0,99,50.0,3.18
Lastoursville,GA,1613074929,-0.8143,12.7287,1,89,75.72,2.91
Kavieng,PG,1613074929,-2.5744,150.7967,71,78,81.66,10.51
Gua Musang,MY,1613074929,4.8823,101.9644,74,91,72.21,1.92
Krasnyy Profintern,RU,1613074929,57.7446,40.435,0,77,-9.4,3.15
Havre-St-Pierre,CA,1613074929,50.2334,-63.5986,90,86,15.8,14.97
Bilma,NE,1613074930,18.6853,12.9164,0,21,67.96,2.51
Pimentel,PE,1613074931,-6.8367,-79.9342,0,48,86.0,13.8
Ten'gushevo,RU,1613074931,54.7686,42.7189,96,94,3.31,4.23
Grindavik,IS,1613074931,63.8424,-22.4338,90,81,37.4,18.41
Nanortalik,GL,1613074931,60.1432,-45.2371,100,91,29.34,9.93
Ballina,AU,1613074932,-28.8667,153.5667,56,94,62.6,4.12
Polson,US,1613074932,47.6936,-114.1632,98,47,7.0,6.31
Hai Duong,VN,1613074932,20.9333,106.3167,0,88,64.4,3.44
Woodland,US,1613074704,38.6785,-121.7733,90,71,57.99,12.66
Cockburn Town,TC,1613074932,21.4612,-71.1419,40,61,80.6,13.8
Naxos,GR,1613074933,37.1056,25.3764,0,72,59.0,12.66
Ambilobe,MG,1613074933,-13.2,49.05,100,92,75.13,1.32
Bairiki Village,KI,1613074933,1.3292,172.9752,40,83,80.6,8.05
Indore,IN,1613074933,22.7179,75.8333,91,28,64.56,5.06
Baldeogarh,IN,1613074933,24.755,79.0681,82,36,58.05,3.53
Berbera,SO,1613074934,10.4396,45.0143,23,69,75.29,5.7
Tamiahua,MX,1613074934,21.2667,-97.45,57,79,78.58,7.14
Ozernovskiy,RU,1613074934,51.5,156.5167,100,89,27.16,5.01
Riyadh,SA,1613074822,24.6877,46.7219,0,36,60.8,5.12
Gigmoto,PH,1613074934,13.7796,124.39,38,85,77.83,6.78
Saldanha,ZA,1613074934,-33.0117,17.9442,1,82,66.2,6.91
Longyearbyen,SJ,1613074935,78.2186,15.6401,20,78,1.4,10.36
Champerico,GT,1613074935,14.3,-91.9167,40,55,91.4,9.22
Khilok,RU,1613074935,51.3674,110.4676,14,87,-3.95,6.58
Wewak,PG,1613074935,-3.5534,143.6268,100,86,77.07,3.85
Marabu,MY,1613074935,4.4148,114.0089,40,100,75.2,3.44
Humaitá,BR,1613074935,-7.5061,-63.0208,86,91,77.61,1.99
Upernavik,GL,1613074936,72.7868,-56.1549,75,83,0.37,9.53
Dukat,RU,1613074936,62.55,155.55,1,89,-7.11,4.32
Sioux Lookout,CA,1613074936,50.1001,-91.917,75,53,-14.8,2.3
Fort Nelson,CA,1613074936,58.8053,-122.7002,20,70,-13.0,5.75
Aswān,EG,1613074895,24.0934,32.907,98,21,73.09,8.34
Elko,US,1613074834,41.0002,-115.5012,90,40,50.0,12.66
Poum,NC,1613074937,-20.2333,164.0167,0,75,78.48,11.65
Gambēla,ET,1613074937,8.25,34.5833,17,17,84.49,2.21
Mount Isa,AU,1613074937,-20.7333,139.5,100,74,80.6,4.61
Dunedin,NZ,1613074937,-45.8742,170.5036,0,64,55.0,11.01
Sitka,US,1613074937,57.0531,-135.33,1,34,28.4,10.36
Bouna,CI,1613074938,9.2667,-3.0,0,14,83.35,2.57
Rafai,CF,1613074938,4.95,23.9167,98,24,74.62,1.7
Nadym,RU,1613074938,65.5333,72.5167,100,88,-18.65,9.53
Nuevo Progreso,MX,1613074938,23.1667,-97.95,60,61,84.0,10.0
Touros,BR,1613074939,-5.1989,-35.4608,20,70,84.2,16.11
Praia da Vitória,PT,1613074939,38.7333,-27.0667,40,82,61.0,29.21
Cap-aux-Meules,CA,1613074939,47.3821,-61.8597,100,62,15.8,23.02
Oranjemund,NA,1613074939,-28.55,16.4333,98,80,67.48,6.31
Molokovo,RU,1613074939,58.1661,36.7628,60,92,-5.93,5.08
Sylva,RU,1613074939,58.0348,56.7635,20,83,-16.6,2.24
Henties Bay,NA,1613074940,-22.116,14.2845,96,86,70.0,2.17
Chuguyevka,RU,1613074940,44.1653,133.8633,76,90,20.66,4.25
Port Blair,IN,1613074940,11.6667,92.75,29,70,77.34,7.83
Killorglin,IE,1613074940,52.1,-9.7833,75,81,39.2,19.57
Durango,MX,1613074652,24.8333,-104.8333,0,22,64.96,7.23
Tabas,IR,1613074941,33.5959,56.9244,0,24,53.6,6.91
Esperance,AU,1613074941,-33.8667,121.9,90,72,59.0,4.61
Staunton,US,1613074762,38.1496,-79.0717,90,93,33.8,5.75
Thai Nguyen,VN,1613074941,21.5928,105.8442,40,82,64.4,5.75
Belmonte,BR,1613074942,-15.8631,-38.8828,20,66,86.0,3.44
Mayna,RU,1613074942,54.1135,47.6231,85,96,5.4,6.53
Zhigansk,RU,1613074942,66.7697,123.3711,96,90,-10.28,2.66
Bundaberg,AU,1613074942,-24.85,152.35,40,88,70.0,5.75
Abu Samrah,SY,1613074942,35.3029,37.1841,0,58,55.54,7.18
Petrolina,BR,1613074943,-9.3986,-40.5008,40,38,93.2,11.5
Kumul,CN,1613074742,42.8,93.45,40,82,28.96,3.56
Helong,CN,1613074943,42.5397,128.9972,57,84,27.84,5.99
Broome,US,1613074943,42.2506,-75.833,90,63,26.01,9.22
Vestmannaeyjar,IS,1613074943,63.4427,-20.2734,100,72,41.5,31.72
Lorengau,PG,1613074944,-2.0226,147.2712,97,76,80.8,5.88
Capâo Bonito,BR,1613074944,-24.0058,-48.3494,100,93,70.63,5.53
Ancud,CL,1613074944,-41.8697,-73.8203,75,82,64.99,9.22
Tarko-Sale,RU,1613074865,64.9225,77.785,74,84,-34.01,4.68
Swan Hill,AU,1613074944,-35.3378,143.5544,100,70,71.2,4.05
Ishigaki,JP,1613074945,24.3448,124.1572,42,81,69.37,27.11
Goderich,CA,1613074945,43.7501,-81.7165,100,73,17.6,6.91
Fairbanks,US,1613074945,64.8378,-147.7164,40,85,12.0,2.13
Capitán Bado,PY,1613074945,-23.2667,-55.5333,100,70,77.7,4.54
Carnarvon,AU,1613074945,-24.8667,113.6333,75,83,73.4,18.41
Hennebont,FR,1613074946,47.8051,-3.2734,90,93,30.99,18.41
Santa Maria,BR,1613074893,-29.6842,-53.8069,75,83,69.8,17.27
Cayenne,GF,1613074946,4.9333,-52.3333,75,94,78.8,6.91
Port-Gentil,GA,1613074946,-0.7193,8.7815,20,84,84.2,10.36
Mont-Dore,NC,1613074946,-22.2833,166.5833,67,99,78.01,3.13
Havøysund,NO,1613074947,70.9963,24.6622,75,69,28.4,9.22
Lødingen,NO,1613074947,68.414,15.9951,75,93,30.99,2.3
Wufeng,CN,1613074947,27.45,104.8333,100,100,39.09,2.82
Santa Catalina,PH,1613074686,9.3337,122.8637,97,81,77.32,3.11
Yanam,IN,1613074948,16.7333,82.2167,84,80,66.49,1.03
Edson,CA,1613074948,53.5835,-116.4356,90,58,-13.0,13.8
Rio Claro,BR,1613074948,-22.4114,-47.5614,100,81,73.0,1.01
Alappuzha,IN,1613074948,9.49,76.3264,0,81,74.52,7.18
Camaná,PE,1613074949,-16.6228,-72.7111,100,64,76.17,7.87
Acapulco de Juárez,MX,1613074842,16.8634,-99.8901,1,69,82.4,12.66
Jussara,BR,1613074949,-23.6214,-52.4694,40,61,78.8,8.05
Ust-Nera,RU,1613074949,64.5667,143.2,100,82,1.17,0.18
Bajil,YE,1613074949,15.0584,43.2851,22,58,79.75,2.93
Hall,US,1613074950,34.3168,-83.7832,90,94,57.99,3.44
Nago,JP,1613074950,26.5881,127.9761,75,82,64.4,24.16
Bac Lieu,VN,1613074950,9.285,105.7244,30,85,74.1,9.86
Nokaneng,BW,1613074950,-19.6667,22.2667,100,91,67.98,3.15
Salym,RU,1613074950,60.0625,71.4789,0,86,-25.78,3.98
Nayoro,JP,1613074932,44.3506,142.4578,52,93,12.0,0.63
Cockenzie,GB,1613074951,55.9682,-2.9656,0,93,27.0,1.14
Port Hedland,AU,1613074951,-20.3167,118.5667,90,83,80.6,5.75
Ponta do Sol,PT,1613074951,32.6667,-17.1,67,65,62.01,3.0
Codrington,AU,1613074951,-38.2667,141.9667,93,70,61.41,10.76
Padang,ID,1613074952,-0.9492,100.3543,20,83,75.2,2.3
Santa Isabel Rio Negro,BR,1613074952,-0.4139,-65.0192,100,46,92.3,4.74
Labuhan,ID,1613074952,-6.8844,112.2051,99,87,76.86,7.72
Korla,CN,1613074952,41.7597,86.1469,99,85,31.82,2.26
Baijiantan,CN,1613074953,45.6333,85.1833,100,85,17.92,2.37
Coyhaique,CL,1613074953,-45.5752,-72.0662,20,35,69.8,10.36
Kamenka,RU,1613074953,51.3223,42.7678,89,97,13.46,0.92
Aykhal,RU,1613074953,66.0,111.5,7,85,-22.05,4.36
Roald,NO,1613074953,62.5833,6.1333,0,54,23.0,13.8
Chabahar,IR,1613074954,25.2919,60.643,0,49,70.21,4.56
San Julián,MX,1613074954,21.0167,-102.1667,0,19,71.74,14.34
Bull Savanna,JM,1613074954,17.8868,-77.5902,9,66,79.95,16.33
Ginir,ET,1613074954,7.1333,40.7,72,32,61.77,2.77
Ust-Tsilma,RU,1613074954,65.441,52.1498,86,89,-14.03,1.72
Mbabane,SZ,1613074955,-26.3167,31.1333,67,100,62.71,3.0
Luanshya,ZM,1613074955,-13.1367,28.4166,100,92,66.0,7.0
Xining,CN,1613074955,36.6167,101.7667,0,80,28.78,1.92
Begoro,GH,1613074955,6.3871,-0.3774,2,77,78.37,7.49
Cabra,ES,1613074955,37.4725,-4.4421,0,94,57.2,2.08
Gulariyā,NP,1613074956,28.2333,81.3333,99,48,58.62,2.13
